Transaction_ID,Date,Origin_Facility,Destination_City,Vehicle_Type,Route_Type,Distance_KM,Package_Weight_KG,Traffic_Conditions,Carbon_Emission_kgCO2e,Is_Eco_Friendly
TRX-F775953B,2025-02-18,Jakarta Fulfillment Center,Waynehaven,Electric Van (EV),Mixed Route,80.4,15.6,Normal,4.1,1
TRX-B4C50003,2025-09-11,Jakarta Fulfillment Center,East Patriciaside,Diesel Van (Euro 6),Mixed Route,135.3,18.8,Low,23.13,0
TRX-F7C71F39,2025-06-15,Semarang Depot,Pottershire,Drone Delivery,Urban Last Mile,9.0,25.4,Normal,0.091,1
TRX-A60E6AAA,2025-06-23,Semarang Depot,North Christina,Drone Delivery,Urban Last Mile,11.8,13.5,High,0.101,1
TRX-D0CFAF87,2025-02-15,Jakarta Fulfillment Center,Lisamouth,Heavy Truck,Inter-City,156.5,1792.6,Normal,128.004,0
TRX-6DA9DF97,2025-01-07,Jakarta Fulfillment Center,Sheltonborough,Motorcycle (Courier),Inter-District,5.4,26.8,High,0.715,0
TRX-67089DC7,2025-06-06,Semarang Depot,Michaelstad,Cargo Bicycle,Urban Last Mile,5.4,12.2,Low,0.0,1
TRX-35639C2B,2025-11-11,Surabaya Warehouse,Keyhaven,Electric Van (EV),Mixed Route,122.7,30.0,Normal,5.623,1
TRX-2AD3A098,2025-09-07,Medan Distribution,Lake Matthewside,Cargo Bicycle,Urban Last Mile,2.1,10.5,High,0.0,1
TRX-B1372202,2025-07-30,Medan Distribution,Keithberg,Heavy Truck,Inter-City,304.5,2558.5,High,349.98,0
TRX-E5500935,2025-12-09,Makassar Port,Angelstad,Cargo Bicycle,Urban Last Mile,11.0,9.6,Normal,0.0,1
TRX-30C1665B,2025-05-24,Makassar Port,Hendersonfurt,Electric Van (EV),Mixed Route,60.9,13.0,High,3.136,1
TRX-2027647B,2025-12-15,Semarang Depot,Camachochester,Heavy Truck,Inter-City,488.1,4402.5,High,605.328,0
TRX-05C24316,2025-07-18,Semarang Depot,Sandershaven,Heavy Truck,Inter-City,661.8,4400.4,Normal,686.441,0
TRX-3AE34354,2025-04-13,Semarang Depot,Elliottfort,Motorcycle (Courier),Inter-District,37.1,8.1,Normal,4.001,0
TRX-97AA4B35,2025-07-21,Semarang Depot,New Jeffreyberg,Heavy Truck,Inter-City,748.4,2656.4,Normal,688.37,0
TRX-4F9EF064,2025-11-16,Medan Distribution,Lake Alexandraville,Drone Delivery,Urban Last Mile,1.4,7.1,Normal,0.009,1
TRX-2014F6F1,2025-10-08,Bandung Hub,Harrisonfort,Drone Delivery,Urban Last Mile,1.7,21.3,Normal,0.016,1
TRX-B35CA22A,2025-12-12,Makassar Port,Port Norma,Diesel Van (Euro 4),Mixed Route,110.4,13.2,Low,26.799,0
TRX-9DD7658D,2025-09-03,Bandung Hub,Craigside,Motorcycle (Courier),Inter-District,36.0,25.6,Normal,3.659,0
TRX-FB0B77EA,2025-04-10,Jakarta Fulfillment Center,Santiagoport,Cargo Bicycle,Urban Last Mile,10.8,20.4,High,0.0,1
TRX-0BB1353B,2025-08-03,Makassar Port,Ballardfurt,Heavy Truck,Inter-City,275.7,2309.4,Low,228.001,0
TRX-E2A4E5CE,2025-06-20,Surabaya Warehouse,West Marie,Heavy Truck,Inter-City,659.9,2758.5,Low,522.458,0
TRX-2EB5AE1E,2025-01-06,Semarang Depot,East Dianamouth,Drone Delivery,Urban Last Mile,13.4,13.3,High,0.108,1
TRX-3107777A,2025-11-11,Surabaya Warehouse,Wardborough,Drone Delivery,Urban Last Mile,4.8,1.5,Severe Congestion,0.025,1
TRX-0E8FDACD,2025-04-14,Makassar Port,Owensfort,Heavy Truck,Inter-City,772.5,4116.0,High,911.44,0
TRX-06498B9E,2025-11-12,Semarang Depot,Grantton,Electric Van (EV),Mixed Route,139.0,8.2,High,7.95,1
TRX-E499C679,2025-11-21,Semarang Depot,Leviville,Motorcycle (Courier),Inter-District,22.9,24.9,Low,2.348,0
TRX-E1715FD9,2025-06-22,Semarang Depot,Shawnburgh,Heavy Truck,Inter-City,564.7,651.3,Severe Congestion,730.718,0
TRX-0418A7A3,2025-06-17,Surabaya Warehouse,Bentleyview,Electric Van (EV),Mixed Route,74.1,24.5,Severe Congestion,4.306,1
TRX-504609C0,2025-12-19,Semarang Depot,Woodborough,Cargo Bicycle,Urban Last Mile,11.0,28.9,Low,0.0,1
TRX-8F100E75,2025-10-20,Surabaya Warehouse,Thomastown,Motorcycle (Courier),Inter-District,37.3,5.9,Normal,3.125,0
TRX-C261C10D,2025-02-07,Semarang Depot,South Beverlyland,Drone Delivery,Urban Last Mile,11.2,28.2,Normal,0.109,1
TRX-824903A7,2025-08-27,Makassar Port,East David,Electric Van (EV),Mixed Route,136.5,11.4,High,7.163,1
TRX-C19C4369,2025-01-20,Bandung Hub,Elizabethstad,Cargo Bicycle,Urban Last Mile,13.0,4.8,Low,0.0,1
TRX-E9442C68,2025-03-04,Jakarta Fulfillment Center,West Elizabethshire,Diesel Van (Euro 4),Mixed Route,10.0,17.6,High,3.587,0
TRX-5B81A32C,2025-10-28,Jakarta Fulfillment Center,Norrisberg,Heavy Truck,Inter-City,655.6,1615.3,Normal,592.478,0
TRX-950D1D79,2025-08-02,Medan Distribution,South Brianna,Diesel Van (Euro 4),Mixed Route,115.3,28.7,Severe Congestion,53.564,0
TRX-90EF25F5,2025-08-23,Makassar Port,Christopherburgh,Drone Delivery,Urban Last Mile,9.9,5.1,Normal,0.058,1
TRX-E6033012,2026-01-01,Surabaya Warehouse,Port Kimberly,Cargo Bicycle,Urban Last Mile,9.2,23.2,High,0.0,1
TRX-B742F0D8,2025-08-18,Semarang Depot,Williamfurt,Cargo Bicycle,Urban Last Mile,11.1,4.5,High,0.0,1
TRX-83FC40B9,2025-11-12,Bandung Hub,New Lindsay,Motorcycle (Courier),Inter-District,25.6,28.8,Severe Congestion,4.209,0
TRX-189EABBF,2025-05-29,Makassar Port,North Pedroland,Heavy Truck,Inter-City,303.5,2380.0,High,357.777,0
TRX-C3FEEF46,2025-01-22,Bandung Hub,Debbietown,Diesel Van (Euro 6),Mixed Route,119.7,27.5,Severe Congestion,35.429,0
TRX-F34127B2,2025-01-12,Surabaya Warehouse,Murphyport,Heavy Truck,Inter-City,388.4,4136.0,Severe Congestion,608.368,0
TRX-0EF112D0,2025-06-26,Medan Distribution,Robinfort,Drone Delivery,Urban Last Mile,3.8,0.9,Normal,0.02,1
TRX-738D01F2,2025-07-03,Jakarta Fulfillment Center,East Brittany,Motorcycle (Courier),Inter-District,36.1,2.0,Severe Congestion,5.373,0
TRX-0A4D05F7,2025-03-24,Surabaya Warehouse,Hansonmouth,Cargo Bicycle,Urban Last Mile,5.9,23.2,Normal,0.0,1
TRX-0F45B119,2025-08-23,Jakarta Fulfillment Center,Lake Jennifer,Diesel Van (Euro 4),Mixed Route,81.5,10.2,Normal,24.378,0
TRX-C9095CF6,2025-08-03,Surabaya Warehouse,Johnsonburgh,Motorcycle (Courier),Inter-District,16.4,4.1,High,2.108,0
TRX-312203D8,2025-01-20,Semarang Depot,South Mirandaborough,Heavy Truck,Inter-City,533.0,1268.3,Normal,486.984,0
TRX-2FBF997F,2025-07-09,Medan Distribution,East Debbieborough,Heavy Truck,Inter-City,244.9,3305.0,High,292.052,0
TRX-9090C866,2025-11-04,Semarang Depot,East Donna,Heavy Truck,Inter-City,263.3,3699.0,Normal,247.398,0
TRX-D7CDED63,2025-03-16,Medan Distribution,Nelsonside,Motorcycle (Courier),Inter-District,6.2,19.6,Low,0.57,0
